publishedAt,title,source,url,sentiment,sentiment_label
2025-05-26T09:55:01Z,We asked 10 everyday Americans for the best investment of their lives,Business Insider,https://www.businessinsider.com/best-investments-ever-average-americans-stock-market-real-estate-wealth-2025-5,1,neutral
2025-05-26T08:34:55Z,Top Fitness Stocks To Add to Your Watchlist – May 24th,ETF Daily News,https://www.etfdailynews.com/2025/05/26/top-fitness-stocks-to-add-to-your-watchlist-may-24th/,1,neutral
2025-05-26T08:34:52Z,Music Stocks To Keep An Eye On – May 24th,ETF Daily News,https://www.etfdailynews.com/2025/05/26/music-stocks-to-keep-an-eye-on-may-24th/,1,neutral
2025-05-26T07:36:55Z,"9,390 Shares in Apple Inc. (NASDAQ:AAPL) Bought by Sovereign Investment Advisors LLC",ETF Daily News,https://www.etfdailynews.com/2025/05/26/9390-shares-in-apple-inc-nasdaqaapl-bought-by-sovereign-investment-advisors-llc/,1,neutral
2025-05-26T07:36:53Z,Centurion Wealth Management LLC Sells 436 Shares of Apple Inc. (NASDAQ:AAPL),ETF Daily News,https://www.etfdailynews.com/2025/05/26/centurion-wealth-management-llc-sells-436-shares-of-apple-inc-nasdaqaapl/,1,neutral
2025-05-26T07:36:53Z,CBIZ Investment Advisory Services LLC Decreases Stock Position in Apple Inc. (NASDAQ:AAPL),ETF Daily News,https://www.etfdailynews.com/2025/05/26/cbiz-investment-advisory-services-llc-decreases-stock-position-in-apple-inc-nasdaqaapl/,0,positive
2025-05-26T07:36:52Z,Apple Inc. (NASDAQ:AAPL) Shares Acquired by Envestnet Portfolio Solutions Inc.,ETF Daily News,https://www.etfdailynews.com/2025/05/26/apple-inc-nasdaqaapl-shares-acquired-by-envestnet-portfolio-solutions-inc/,0,positive
2025-05-26T07:36:52Z,CV Advisors LLC Grows Stake in Apple Inc. (NASDAQ:AAPL),ETF Daily News,https://www.etfdailynews.com/2025/05/26/cv-advisors-llc-grows-stake-in-apple-inc-nasdaqaapl/,1,neutral
2025-05-26T07:36:52Z,Apple Inc. (NASDAQ:AAPL) is Hutchinson Capital Management CA’s 2nd Largest Position,ETF Daily News,https://www.etfdailynews.com/2025/05/26/apple-inc-nasdaqaapl-is-hutchinson-capital-management-cas-2nd-largest-position/,1,neutral
2025-05-26T07:36:51Z,"Strategic Financial Partners Ltd. Buys 1,697 Shares of Apple Inc. (NASDAQ:AAPL)",ETF Daily News,https://www.etfdailynews.com/2025/05/26/strategic-financial-partners-ltd-buys-1697-shares-of-apple-inc-nasdaqaapl/,1,neutral
2025-05-26T07:36:51Z,Patten & Patten Inc. TN Cuts Holdings in Apple Inc. (NASDAQ:AAPL),ETF Daily News,https://www.etfdailynews.com/2025/05/26/patten-patten-inc-tn-cuts-holdings-in-apple-inc-nasdaqaapl/,2,negative
2025-05-26T06:05:01Z,Promising Technology Stocks To Watch Today – May 24th,ETF Daily News,https://www.etfdailynews.com/2025/05/26/promising-technology-stocks-to-watch-today-may-24th/,1,neutral
2025-05-26T05:05:29Z,Investors hope Nvidia makes a statement,TheStreet,https://www.thestreet.com/investing/investors-hope-nvidia-makes-a-statement,1,neutral
2025-05-25T23:12:56Z,Recessions Signs Rise; Moody’s Turns The Bond Market Blue,Forbes,https://www.forbes.com/sites/greatspeculations/2025/05/25/recessions-signs-rise-moodys-turns-the-bond-market-blue/,1,neutral
2025-05-25T14:16:34Z,"Trump Wants iPhones Made in the USA, But Is It Even Possible?",Biztoc.com,https://biztoc.com/x/1f908e8439f03b8e,1,neutral
2025-05-25T12:24:45Z,Bond Yields & Stocks: Something’s Happening Here,Forbes,https://www.forbes.com/sites/bill_stone/2025/05/25/bond-yields--stocks-somethings-happening-here/,1,neutral
2025-05-25T07:13:09Z,"15,551 Shares in Apple Inc. (NASDAQ:AAPL) Purchased by HMV Wealth Advisors LLC",ETF Daily News,https://www.etfdailynews.com/2025/05/25/15551-shares-in-apple-inc-nasdaqaapl-purchased-by-hmv-wealth-advisors-llc/,1,neutral
2025-05-25T07:13:08Z,Clearstead Trust LLC Has $22.13 Million Position in Apple Inc. (NASDAQ:AAPL),ETF Daily News,https://www.etfdailynews.com/2025/05/25/clearstead-trust-llc-has-22-13-million-position-in-apple-inc-nasdaqaapl/,0,positive
2025-05-25T07:13:07Z,"Family Firm Inc. Sells 2,313 Shares of Apple Inc. (NASDAQ:AAPL)",ETF Daily News,https://www.etfdailynews.com/2025/05/25/family-firm-inc-sells-2313-shares-of-apple-inc-nasdaqaapl/,1,neutral
2025-05-25T07:13:07Z,Maiden Cove Capital LLC Cuts Stock Position in Apple Inc. (NASDAQ:AAPL),ETF Daily News,https://www.etfdailynews.com/2025/05/25/maiden-cove-capital-llc-cuts-stock-position-in-apple-inc-nasdaqaapl/,0,positive
2025-05-25T07:13:06Z,"Poinciana Advisors Group LLC Purchases Shares of 10,122 Apple Inc. (NASDAQ:AAPL)",ETF Daily News,https://www.etfdailynews.com/2025/05/25/poinciana-advisors-group-llc-purchases-shares-of-10122-apple-inc-nasdaqaapl/,1,neutral
2025-05-25T07:13:06Z,"Brown Miller Wealth Management LLC Buys 1,137 Shares of Apple Inc. (NASDAQ:AAPL)",ETF Daily News,https://www.etfdailynews.com/2025/05/25/brown-miller-wealth-management-llc-buys-1137-shares-of-apple-inc-nasdaqaapl/,1,neutral
2025-05-25T07:13:03Z,"Greatmark Investment Partners Inc. Sells 2,998 Shares of Apple Inc. (NASDAQ:AAPL)",ETF Daily News,https://www.etfdailynews.com/2025/05/25/greatmark-investment-partners-inc-sells-2998-shares-of-apple-inc-nasdaqaapl/,1,neutral
2025-05-25T07:13:03Z,Apple Inc. (NASDAQ:AAPL) Shares Sold by Doheny Asset Management CA,ETF Daily News,https://www.etfdailynews.com/2025/05/25/apple-inc-nasdaqaapl-shares-sold-by-doheny-asset-management-ca/,2,negative
2025-05-25T07:13:01Z,Ironwood Investment Counsel LLC Lowers Stock Position in Apple Inc. (NASDAQ:AAPL),ETF Daily News,https://www.etfdailynews.com/2025/05/25/ironwood-investment-counsel-llc-lowers-stock-position-in-apple-inc-nasdaqaapl/,0,positive
2025-05-25T07:12:58Z,Apple Inc. (NASDAQ:AAPL) is Hills Bank & Trust Co’s 10th Largest Position,ETF Daily News,https://www.etfdailynews.com/2025/05/25/apple-inc-nasdaqaapl-is-hills-bank-trust-cos-10th-largest-position/,1,neutral
2025-05-25T07:06:35Z,Mac mini (2024)のThunderbolt 4ポートに最大40Gbps接続でNVMe SSDを、前面のUSB-Cポートに10GbpsでUSBハブを接続しボトルネックを解決したMac mini縦置きドックが発売。,Applech2.com,https://applech2.com/archives/20250525-vertical-mac-mini-m4-2024-dock-stand-usb4.html,1,neutral
2025-05-25T06:04:58Z,Top Technology Stocks To Watch Today – May 23rd,ETF Daily News,https://www.etfdailynews.com/2025/05/25/top-technology-stocks-to-watch-today-may-23rd/,1,neutral
2025-05-25T05:48:09Z,Apple (AAPL) Faces a New Kind of Rival – And Wall Street Is Paying Attention,Yahoo Entertainment,https://finance.yahoo.com/news/apple-aapl-faces-kind-rival-054809778.html,1,neutral
2025-05-25T05:32:59Z,Zacks Research Forecasts Apple’s Q3 Earnings (NASDAQ:AAPL),ETF Daily News,https://www.etfdailynews.com/2025/05/25/zacks-research-forecasts-apples-q3-earnings-nasdaqaapl/,1,neutral
2025-05-24T21:00:47Z,"Ex-Apple Engineers Behind $200M Xnor Deal Launch ElastixAI, Secure $16M To Revolutionize AI Inference Across Devices",Benzinga,https://www.benzinga.com/news/25/05/45600990/ex-apple-engineers-behind-200m-xnor-deal-launch-elastixai-secure-16m-to-revolutionize-ai-inference-across-devices,1,neutral
2025-05-24T14:36:50Z,Trump threatens Apple Inc. (AAPL) with New Tariffs if iPhones Not Made in U.S,Biztoc.com,https://biztoc.com/x/23fb0da1a88a195e,1,neutral
